Grant Funder Name,Grant Recipient Name,Grant Total Amount,Grant Fiscal Year,Grant Duration,Grant Program Area,Grant Primary Subject,Grant Population Served,Grant Support Strategy,Grant Transaction Type,Grant Description
Oristaglio Family Foundation,"Community Servings, Inc.","3,659",2018,1 year,Not Specified,Food aid,Ethnic and racial groups; Low-income people; People with disabilities; People with HIV/AIDS,Not Specified,Cash grants,Charity's exempt purpose
"The Liberty Mutual Foundation, Inc.",Youth Enrichment Services (YES),"3,638",2018,1 year,Not Specified,Youth organizing,Children and youth; Ethnic and racial groups; Low-income people,Program support,Cash grants,Matching contribution
The Boston Foundation,"Epiphany School, Inc.","3,600",2018,1 year,Education,Environmental education,Preteens; Ethnic and racial groups; Protestants; Low-income people; Students,General support,Cash grants,For general/unrestricted support
Clif Family Foundation,The Food Project,"3,500",2018,1 year,Not Specified,Food sovereignty,Farmers,Program expansion,Cash grants,Expanding organic food & farming
Community Foundation of Western Massachusetts,Pioneer Valley Workers Center,"3,500",2018,1 year,Economic Development,Economic development,Ethnic and racial groups; Immigrants; Low-income people,"Program support; Awards, prizes and competitions",Cash grants,Grant for Valley Gives Prize
"General Charitable Fund, Inc.",Anonymous Individual(s),"3,500",2018,1 year,Not Specified,Open data,People of South Asian descent,Online engagement; Equal access; Publications; Travel awards,Cash grants,Schilarship
Highland Street Foundation,Chinatown People Progressive Association Inc.,"3,500",2018,1 year,Not Specified,Ethnic and racial minority rights,Seniors; People of East Asian descent; Immigrants and migrants; Low-income people,Not Specified,Cash grants,For community
MASSACHUSETTS SERVICE ALLIANCE,GROUNDWORK SOMERVILLE INC,"3,500",2018,1 year,Not Specified,Natural resources,Ethnic and racial groups; Low-income people,Volunteer development,Cash grants,SUPPORT COMMUNITY SERVICE/VOLUNTEERISM PROGRAMS AND PROJECTS
McDonagh Family Foundation,Our Neighbors' Table,"3,500",2018,1 year,Not Specified,Human rights,Children and youth; Ethnic and racial groups,Not Specified,Cash grants,CONSISTENT WITH FDN OBJECTIVES
Mission Hill/Fenway Neighborhood Trust Inc.,Kaji Aso Studio Inc,"3,500",2018,1 year,Not Specified,Arts and culture,People of East Asian descent,General support,Cash grants,GENERAL OPERATING SUPPORT
Prokopis Charitable Foundation,"Community Servings, Inc.","3,500",2018,1 year,Not Specified,Food aid,Ethnic and racial groups; Low-income people; People with disabilities; People with HIV/AIDS,General support,Cash grants,General purpose
Snider Family Foundation,"Tenacity, Inc.","3,500",2018,1 year,Not Specified,Sports,Children and youth; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,General
Somerville Health Foundation Inc.,Brazilian Women's Group Inc,"3,500",2018,1 year,Not Specified,Cultural awareness,Women and girls,General support,Cash grants,UNRESTRICTED GENERAL SUPPORT
The Boston Foundation,Black Economic Justice Institute,"3,500",2018,1 year,Employment,Economic justice,People of African descent,General support,Cash grants,For general/unrestricted support
The Boston Foundation,Inquilinos Boricuas en Accion,"3,500",2018,1 year,Community Improvement & Capacity Buildin,Economic development,People of Latin American descent; Immigrants and migrants; Low-income people,General support,Cash grants,For general/unrestricted support
The CHT Foundation,Museum of African American History,"3,500",2018,1 year,Not Specified,Education,People of African descent,Program support,Cash grants,Museum-based education programs.
The Jason Hayes Foundation,"Massachusetts Advocates for Children, Inc.","3,500",2018,1 year,Not Specified,Elementary and secondary education,Students,Capacity-building and technical assistance; Faculty and staff development; Program support,Cash grants,"GRANT TO SUPPORT INITIATIVES TO TRAIN SCHOOL PERSONNEL, ETC. TO HELP TRAUMATIZED CHILDREN LEARN"
The John and Gertrude Donovan Foundation,Hale Reservation Inc,"3,500",2018,1 year,Not Specified,Community recreation,American Indians,General support,Cash grants,Unrestricted
The Tyler Family Foundation,"Artists for Humanity, Inc.","3,500",2018,1 year,Not Specified,Artist's services,Adolescents; Ethnic and racial groups; Low-income people,General support,Cash grants,General purpose
Tinker Family Foundation,Year Up,"3,500",2018,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,General support; Public engagement and education; Advocacy; Equal access,Cash grants,General & Unrestricted
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Mercury Wire Products Charitable Foundation,Interise,"3,350",2018,1 year,Not Specified,Community improvement,Ethnic and racial groups; Low-income people,Capacity-building and technical assistance,Cash grants,COMMUNITY
The Croll Foundation,Trustees of Reservations,"3,280",2018,1 year,Not Specified,Sports and recreation,Indigenous peoples,Not Specified,Cash grants,Support mabel's swing bench for naumkeag
United Way Of Central Massachusetts Inc,Family Health Center Of Worcester Inc,"3,280",2018,1 year,Not Specified,Health care clinics,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Donor Designated
"The Liberty Mutual Foundation, Inc.","Community Servings, Inc.","3,260",2018,1 year,Not Specified,Food aid,Ethnic and racial groups; Low-income people; People with disabilities; People with HIV/AIDS,Program support,Cash grants,Matching contribution
"The Liberty Mutual Foundation, Inc.",Rian Immigrant Center,"3,223",2018,1 year,Not Specified,Immigrant services,Ethnic and racial groups; Immigrants; Low-income people,Program support,Cash grants,Matching contribution
1997 John & Mary Murphy Educational Foundation,Winchester Multicultural Network,"3,200",2018,1 year,Not Specified,Higher education,Ethnic and racial groups; Economically disadvantaged people; Students,Program support,Cash grants,Higher Education
The Blais Foundation,Northeastern University,"3,200",2018,1 year,Not Specified,University education,Ethnic and racial groups; Academics,Scholarships,Cash grants,To provide scholarships
William P. Anderson Foundation,Beacon Academy Inc,"3,200",2018,1 year,Not Specified,Adult education,Children and youth; Ethnic and racial groups; Economically disadvantaged people; Low-income people; Students,Collections acquisitions; Program support; Publications,Cash grants,English books
National Christian Charitable Foundation Inc,Peer Servants,"3,150",2018,1 year,Not Specified,Poverty studies,Low-income people,Program support,Cash grants,Poverty
Gravestar Foundation,GROUNDWORK SOMERVILLE INC,"3,100",2018,1 year,Not Specified,Natural resources,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Charitable
Frank Reed & Margaret Jane Peters Memorial Fund II,Friends of the Children - Boston,"3,055",2018,1 year,Not Specified,Adult and child mentoring,Children and youth,General support,Cash grants,Unrestricted general support
Frank Reed & Margaret Jane Peters Memorial Fund II,African,"3,055",2018,1 year,Not Specified,Education,People of African descent; Immigrants and migrants,General support,Cash grants,Unrestricted general support
Agnes M. Lindsay Trust,Boston Chinatown Neighborhood Center (bcnc),"3,000",2018,1 year,Health,Nutrition,Children and youth; Ethnic and racial groups; Economically disadvantaged people,Equipment,Cash grants,"To support the purchase of a new commercial refrigerator for the Acorn Center.The purchase of this piece of equipment is necessary to meet the needs of the nutrition and food program that provides healthy breakfasts, lunches, and snacks to children."
Agnes M. Lindsay Trust,Mujeres Unidas Avanzando,"3,000",2018,1 year,Health,Women's services,Women and girls; People of Latin American descent; Immigrants; Low-income people; Students,Capital and infrastructure,Cash grants,"To support much needed electrical work in the building, replacing circuit breaker panel, outlets, connections, etc."
Albert Shapiro Fund Inc.,Camp Harbor View Foundation Inc.,"3,000",2018,1 year,Not Specified,Education,Students,Not Specified,Cash grants,Educational
"Anna B. Stearns Charitable Foundation, Inc.",Boston Debate League,"3,000",2018,1 year,Not Specified,Student services,Preteens; Adolescents; Ethnic and racial groups; Students,General support,Cash grants,General purposes
Callahan-Dee Family Foundation,NUESTRAS RAICES INC,"3,000",2018,1 year,Not Specified,Philanthropy,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,All contributions were made to the general purpose fund of public charitable organizations that were classified under section 501(C)(3) of the internat Revenue Code.
Church of the Good Shepherd,Mother Caroline Academy &Education Center,"3,000",2018,1 year,Not Specified,Reading promotion,Children and youth; Parents,Not Specified,Cash grants,RELIGIOUS EDUCATION
Cold Brook Fund,"Epiphany School, Inc.","3,000",2018,1 year,Not Specified,Human rights,Preteens; Ethnic and racial groups; Protestants; Low-income people; Students,Equal access; Research,Cash grants,"Unrestricted support of organizations's objectives, research, benefiting those in need"
Dollar General Literacy Foundation,"The B.E.L.L. Foundation, Inc.","3,000",2018,1 year,Not Specified,Elementary education,Children; Students,Program support,Cash grants,SUMMER READING PROGRAM
"Hutchins Family Foundation, Inc.",The Hutchins Center II,"3,000",2018,1 year,Not Specified,Cultural awareness,People of African descent,Research; Program support,Cash grants,Supports research on the history and culture of african descent the world over and
"Jewell Foundation, Ltd.",Corporate Accountability,"3,000",2018,1 year,Not Specified,Corporate social responsibility,Not Specified,Ethics and accountability,Cash grants,CHARITABLE
Kennedy Family Foundation,"Epiphany School, Inc.","3,000",2018,1 year,Not Specified,Environmental education,Preteens; Ethnic and racial groups; Protestants; Low-income people; Students,Not Specified,Cash grants,Educational
"Lone Pine Foundation, Inc.",Year Up,"3,000",2018,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Conferences and exhibits,Cash grants,Engage for Good Conference
Marian F. and Horace Y. Rogers Charitable Trust,Bottom Line,"3,000",2018,1 year,Not Specified,College preparation,Adolescents; Ethnic and racial groups; Economically disadvantaged people; Students,General support,Cash grants,General support
Merrill Family Charitable Foundation Inc.,Corporate Accountability,"3,000",2018,1 year,Not Specified,Corporate social responsibility,Economically disadvantaged people,Ethics and accountability; Equal access,Cash grants,Purpose of grant: general
Moses Kimball Fund,Innovators for Purpose,"3,000",2018,1 year,Not Specified,Community and economic development,Children and youth,Program support,Cash grants,NEW FUTURES LAB
Moses Kimball Fund,La Vida,"3,000",2018,1 year,Not Specified,Equal opportunity in education,Low-income people; Students,Program support,Cash grants,CLOSING THE ADMISSIONS GAP
Move the World Foundation,Year Up,"3,000",2018,1 year,Not Specified,Philanthropy,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Charitable
New York Community Trust,"GreenLight Fund, Inc.","3,000",2018,1 year,Not Specified,Urban development,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,For general support.
Paul and Edith Babson Foundation,BalletRox Inc.,"3,000",2018,1 year,Not Specified,Ballet,Children and youth; Ethnic and racial groups; Economically disadvantaged people; Low-income people,General support,Cash grants,General support
Paul and Edith Babson Foundation,Young Man With a Plan,"3,000",2018,1 year,Not Specified,Youth peer mentoring,Adolescents; People of African descent; People of Latin American descent; At-risk youth,General support,Cash grants,General support
Shethar Foundation Inc,Dudley Street Neighborhood Initiative,"3,000",2018,1 year,Not Specified,Ballet,Ethnic and racial groups; Low-income people,General support,Cash grants,General contribution
Sholley Foundation,"Theater Offensive, Inc.","3,000",2018,1 year,Not Specified,Theater,LGBTQ people; Ethnic and racial groups,General support,Cash grants,UNRESTRICTED GENERAL SUPPORT
Stephen D. and Susan W. Paine Foundation,Cambridge Community Foundation,"3,000",2018,1 year,Not Specified,Community recreation,Family relationships; Ethnic and racial groups; Immigrants and migrants; Economically disadvantaged people; Artists and performers,General support,Cash grants,General charitable purposes
Sunflower Foundation,Massachusetts Community Action Network,"3,000",2018,1 year,Not Specified,Economic development,Immigrants and migrants,"Policy, advocacy and systems reform",Cash grants,"To support their efforts for the economic empowerment of low income and minority residents of massachusetts through campaigns for racial and economic justice. 2019 Priorites include equity in education, progressive state revenue, high quality career technical education & expanded funding for minority youth jobs & immigrant support."
The Boston Foundation,Young Peoples Project,"3,000",2018,1 year,Education,Youth development,Adolescents; LGBTQ people,General support,Cash grants,For general/unrestricted support
The Boston Foundation,Rian Immigrant Center,"3,000",2018,1 year,Human Services,Immigrant services,Ethnic and racial groups; Immigrants; Low-income people,General support,Cash grants,For general/unrestricted support
The Boston Foundation,AbekaM,"3,000",2018,1 year,Youth Development,Youth development,Children and youth; Families; Ethnic and racial groups; Low-income people; At-risk youth,General support,Cash grants,For general/unrestricted support
The CHT Foundation,Alma Del Mar Foundation Inc,"3,000",2018,1 year,Not Specified,Family services,Preteens,"Policy, advocacy and systems reform; Curriculum development",Cash grants,Afterschool programs for middle schoolers.
The CHT Foundation,Boston Scores,"3,000",2018,1 year,Not Specified,Reading promotion,Children and youth; Ethnic and racial groups; Low-income people; At-risk youth; Students,Not Specified,Cash grants,General operating support.
The Frederick E. Weber Charities Corporation,Bottom Line,"3,000",2018,1 year,Not Specified,Community and economic development,Children and youth; Adolescents; Ethnic and racial groups; Economically disadvantaged people; Students,Program support,Cash grants,Program support
The French Foundation,The Trustees of Reservations,"3,000",2018,1 year,Not Specified,Land resources,Indigenous peoples; Economically disadvantaged people,General support,Cash grants,General operating
The Howell Family Charitable Foundation,The Food Project,"3,000",2018,1 year,Not Specified,Food aid,Farmers,Not Specified,Cash grants,To support food
The Kalan Foundation,Sayagyi U Ba Khin Memorial Trust of Massachusetts Inc,"3,000",2018,1 year,Not Specified,Human rights,Age Groups; Gender and sexual identity; Ethnic and racial groups; Religious groups; Health,Not Specified,Cash grants,CHARITABLE
The Ogden Codman Trust,Rural Land Foundation,"3,000",2018,1 year,Not Specified,Biodiversity,Not Specified,Presentations and productions,Cash grants,Wild about lincoln:a pocket guide to familiar species project
"The People's United Community Foundation, Inc.",Asian Community Development Corporation,"3,000",2018,1 month,Affordable Housing,Urban development,People of Asian descent,Not Specified,Cash grants,Not Specified
"The Robert & Patricia Bauman Family Foundation, Inc.",Love Has No Color,"3,000",2018,1 year,Not Specified,Philanthropy,American Indians; Low-income people,Program support,Cash grants,CHARITABLE - EDUCATION SERVICES
"The Rodgers Family Foundation, Inc.",Cambridge Public Access Corporation Inc,"3,000",2018,1 year,Not Specified,Television,Age Groups; Gender and sexual identity; Ethnic and racial groups; Social and economic status,Program support,Cash grants,To aid donee oroanizations to carry out their exempt activities.
"Unitarian Universalist Service Committee, Inc.",Muslim Justice League Inc,"3,000",2018,1 year,Not Specified,Antidiscrimination,Ethnic and racial groups; Muslims; Incarcerated people,Faculty and staff development; Conferences and exhibits; Program support,Cash grants,"The grant provides general support for staff work, travel, and participation in the Love Resists research leadership team during the summer of 2018. This includes: 3 virtual planning meetings via Zoom1 day-long planning meeting"
White Family Charitable Foundation,Ron Burton Training Village Camp,"3,000",2018,1 year,Not Specified,Camps,Children and youth,Program support,Cash grants,CHARITABLE
Agnes M. Lindsay Trust,United South End Settlements,"3,000",2018,1 year,Recreational,Community recreation,Ethnic and racial groups; Low-income people,Camperships,Cash grants,Camperships 2018.
Agnes M. Lindsay Trust,Notre Dame Cristo Rey,"3,000",2018,1 year,Recreational,Secondary education,Ethnic and racial groups; Economically disadvantaged people,Program support,Cash grants,To support the Summer Enrichment/Summer Training Program that provides all incoming freshmen and transfer students with the core skills they will need to succeed in the workplace in the coming year.
"Bank of America Charitable Foundation, Inc.",City on A Hill Foundation Inc,"3,000",2018,1 year,Not Specified,Secondary education,Adolescents; People of African descent; People of Latin American descent; Low-income people; Students,Program support,Cash grants,Program/operating support
Bushrod H. Campbell & Adah F. Hall Charity Fund,JFYNetWorks,"3,000",2018,1 year,Not Specified,Employment,Adolescents; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,GENERAL PURPOSE
Cedar Tree Foundation,Martha's Vineyard Museum Inc,"3,000",2018,1 year,Not Specified,Museums,Children and youth; Adults; Family relationships; Ethnic and racial groups; Social and economic status,General support,Cash grants,General support
E. Nakamichi Foundation,Boston Youth Symphony Orchestras,"3,000",2018,1 year,Not Specified,Musical ensembles and groups,Adolescents,Program support; Performances,Cash grants,Promotion of Classical Music
"East Cambridge Savings Charitable Foundation, Inc.",Chelsea Collaborative Inc,"3,000",2018,1 year,Not Specified,Education,Ethnic and racial groups; Immigrants and migrants; Low-income people,Advocacy,Cash grants,Exempt purpose
Hirsch-Schwartz Foundation,Multicultural AIDS Coalition Inc,"3,000",2018,1 year,Not Specified,Human rights,Ethnic and racial groups,Program support,Cash grants,To ENHANCE THE PurPOSE OF THE ORGANIZATION
"James N. Abbott, Jr. Trust",Anonymous Individual(s),"3,000",2018,1 year,Not Specified,Open data,People of South Asian descent,Online engagement; Equal access; Publications; Travel awards,Cash grants,SCHOLARSHIPSCHOLARSHIPSCHOLARSHIP
Joseph P. Donahue Charitable Foundation,UTEC,"3,000",2018,1 year,Not Specified,Human rights,Adolescents; Young adults; Ethnic and racial groups; Immigrants and migrants; Low-income people,General support,Cash grants,Unrestricted
"Lovett/Woodsum Family Charitable Foundation, Inc.",Summer Search Boston,"3,000",2018,1 year,Not Specified,Youth organizing,Adolescents; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,Unrestricted
Mancini Charitable Foundation,GROUNDWORK SOMERVILLE INC,"3,000",2018,1 year,Not Specified,Sports and recreation,Ethnic and racial groups; Low-income people,General support,Cash grants,General operating purposes
Marguerite Casey Foundation,Year Up,"3,000",2018,1 year,Not Specified,Job training,Low-income people,General support; Public engagement and education; Advocacy; Systems reform; Litigation; Equal access,Cash grants,For general support.
Matthew J. & Gilda F. Strazzula Foundation,The Food Project,"3,000",2018,1 year,Not Specified,Out-of-school learning,Students,Not Specified,Cash grants,AFTER SCHOOL PROGRAM
"National Grange Mutual Charitable Foundation, Inc.",Year Up,"3,000",2018,1 year,Not Specified,Business and industry,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Ethics and accountability,Cash grants,Corporate Distributions
New York Community Trust,Maya Childcare Incorporated,"3,000",2018,1 year,Not Specified,Human services,Infants and toddlers; Ethnic and racial groups,General support; Advocacy; Systems reform; Equal access,Cash grants,For general support.
New York Community Trust,Nativity Boston,"3,000",2018,1 year,Not Specified,Middle school education,Preteen boys; Ethnic and racial groups; Low-income people; Students,General support; Equal access,Cash grants,For general support.
"O'Connell Family Foundation, Inc.",Year Up,"3,000",2018,1 year,Not Specified,HIV/AIDS,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,TO AID THE DONEE ORGANIZATION IN CARRYING OUT THEIR EXEMPT FUNCTioNS
Paul and Edith Babson Foundation,Boston Chinatown Neighborhood Center,"3,000",2018,1 year,Not Specified,Community and economic development,Children and youth; People of East Asian descent; Immigrants and migrants; Immigrants; Low-income people,General support,Cash grants,General support
People's United Community Foundation of Eastern Massachusetts Inc.,"Breakthrough Greater Boston, Inc.","3,000",2018,1 month,Education,Middle school education,Children and youth; Preteens; Adolescents; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Not Specified
Rockland Trust - Peoples Federal Foundation,"Asian American Civic Association, Inc.","3,000",2018,1 year,Not Specified,Civic participation,People of East Asian descent; Immigrants; Low-income people,Sponsorships,Cash grants,Sponsorship
Sanjay and Erzsebet Arora Foundation,"Room to Grow National, Inc","3,000",2018,1 year,Not Specified,Child welfare,Ethnic and racial groups,Fundraising,Cash grants,Charitable Event
Sherbrooke Family Charitable Trust,Grub Street Inc.,"3,000",2018,1 year,Not Specified,Community beautification,Adolescents; Adults; Ethnic and racial groups; Multiracial people,Program support,Cash grants,Education
Silicon Valley Community Foundation,Conservation International Foundation,"3,000",2018,1 year,Natural Resources Conservation & Protection,Natural resources,Indigenous peoples,Program support,Cash grants,Not Specified
Tamarack Foundation,College Bound Dorchester,"3,000",2018,1 year,Not Specified,Secondary education,People of African descent,Program support,Cash grants,Educational
The Blackstone Charitable Foundation,Year Up,"3,000",2018,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Public engagement and education; Advocacy; Systems reform; Litigation; Equal access,Cash grants,General operatings support
The Boston Foundation,Charles Street African Methodist Episcopal Church,"3,000",2018,1 year,Religion-Related,Methodism,People of African descent; Episcopalians and Anglicans; Methodists,General support,Cash grants,For general/unrestricted support
The Boston Foundation,"Asian American Civic Association, Inc.","3,000",2018,1 year,Education,Democracy,People of East Asian descent; Immigrants; Low-income people,General support,Cash grants,For general/unrestricted support
The Boston Foundation,"Brookline Community Foundation, Inc.","3,000",2018,1 year,"Philanthropy, Volunteerism & Foundations",Foundations,Children and youth; Ethnic and racial groups; Economically disadvantaged people; Low-income people; Students,General support,Cash grants,For general/unrestricted support
The Boston Foundation,Lenny Zakim Fund,"3,000",2018,1 year,"Philanthropy, Volunteerism & Foundations",Foundations,Children and youth; Adults; Ethnic and racial groups; Immigrants and migrants; Low-income people,General support,Cash grants,For general/unrestricted support
The Boston Foundation,Black Ministerial Alliance,"3,000",2018,1 year,Religion-Related,Community improvement,People of African descent; Christians; Low-income people,General support,Cash grants,For general/unrestricted support
The Boston Foundation,Eagle Eye Institute,"3,000",2018,1 year,Environment,Vision care,People with disabilities,General support,Cash grants,For general/unrestricted support
The Boston Foundation,"Epiphany School, Inc.","3,000",2018,1 year,Education,Environmental education,Preteens; Ethnic and racial groups; Protestants; Low-income people; Students,General support,Cash grants,For general/unrestricted support
The Boston Foundation,Nurtury,"3,000",2018,1 year,Education,Equal opportunity in education,LGBTQ people,General support,Cash grants,For general/unrestricted support
The Boston Foundation,Nurtury,"3,000",2018,1 year,Education,Equal opportunity in education,LGBTQ people,General support,Cash grants,For general/unrestricted support
The Boston Foundation,Unitarian Universalist Urban Ministry (Benevolent Fraternity of Unitarian Church),"3,000",2018,1 year,Human Services,Interfaith,Children and youth; Women and girls; Ethnic and racial groups; Low-income people; Victims of crime and abuse,General support,Cash grants,For general/unrestricted support
The Boston Foundation,The Trustees of Reservations,"3,000",2018,1 year,Environment,Land resources,Indigenous peoples,General support,Cash grants,For general/unrestricted support
The Charlotte Home,After School Partners,"3,000",2018,1 year,Not Specified,Elementary and secondary education,Students,Program support,Cash grants,Lawrence programming
The CHT Foundation,Inquilinos Boricuas en Accion,"3,000",2018,1 year,Not Specified,Out-of-school learning,People of Latin American descent; Immigrants and migrants; Low-income people,Not Specified,Cash grants,Afterschool and summer learning programs.
The Fletcher Foundation,Worcester Latino Dollar for Scholars,"3,000",2018,1 year,Not Specified,Community college education,People of Latin American descent; Academics,Scholarships,Cash grants,Scholarship funds
"The People's United Community Foundation, Inc.",WORCESTER COMMON GROUND INC,"3,000",2018,1 month,Affordable Housing,Housing development,Families; Multiracial people; Economically disadvantaged people; Low-income people,Not Specified,Cash grants,Not Specified
"The People's United Community Foundation, Inc.",Worcester Youth Center,"3,000",2018,1 month,Community and Economic Development,Youth development,Adolescents; Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
"The Pfizer Foundation, Inc.",Armenian Cultural Association of America Inc,"3,000",2018,1 year,Not Specified,Nonprofits,Ethnic and racial groups,Capacity-building and technical assistance,Cash grants,"Matching gifts program - matches the personal financial contributions of U.S. Based pfizer employees, retirees, and board members to eligible nonprofit charitable organizations."
The Stoddard Charitable Trust,Worcester Latino Dollar for Scholars,"3,000",2018,1 year,Not Specified,Community college education,People of Latin American descent; Academics,Scholarships,Cash grants,Scholarship Funds
"Webster Five Foundation, Inc.",Worcester Youth Center,"3,000",2018,1 year,Not Specified,Education,Adolescents; Ethnic and racial groups; Low-income people,Not Specified,Cash grants,EXEMPT PURPOSE
Whw Family Foundation,"Artists for Humanity, Inc.","3,000",2018,1 year,Not Specified,Arts and culture,Adolescents; Ethnic and racial groups; Low-income people,General support,Cash grants,General & Unrestricted
Mutual of America Foundation,Robert F. Kennedy Children's Action Corps,"2,800",2018,1 year,Not Specified,Child welfare,Children and youth; Adolescents; Ethnic and racial groups; Low-income people; At-risk youth; People with disabilities,Not Specified,Cash grants,Matching gift to irc sec. 501(C)(3) organization
The Elmwood Charitable Trust,KIPP Academy,"2,788",2018,1 year,Not Specified,Charter school education,Children and youth; People of African descent,Program support,Cash grants,Enrichment program
Luck Charitable Trust,Falmouth Road Race Inc,"2,750",2018,1 year,Not Specified,Ethnic and racial minority rights,Ethnic and racial groups,General support,Cash grants,Operating funds
"MAXIMUS Foundation, Inc.","Community Servings, Inc.","2,750",2018,1 year,Not Specified,Food aid,Ethnic and racial groups; Low-income people; People with disabilities; People with HIV/AIDS,Program support,Cash grants,Program Support
Bristol County Savings Charitable Foundation Inc.,SOUTH COAST BUSINESS ALLIANCE,"2,600",2018,1 year,Not Specified,Economic development,Ethnic and racial groups; Low-income people,Program support,Cash grants,Economic development
Apex Foundation,"Epiphany School, Inc.","2,563",2018,1 year,Not Specified,Environmental education,Preteens; Ethnic and racial groups; Protestants; Low-income people; Students,Not Specified,Cash grants,Matching Grant - General Operating Support
"Bank of America Charitable Foundation, Inc.",Youth Enrichment Services (YES),"2,500",2018,1 year,Not Specified,Youth organizing,Children and youth; Ethnic and racial groups; Low-income people,Program support,Cash grants,Program/operating support
"Bank of America Charitable Foundation, Inc.",Lets Get Ready,"2,500",2018,1 year,Not Specified,Out-of-school learning,Adolescents; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Program/operating support
"Bank of America Charitable Foundation, Inc.",Lets Get Ready,"2,500",2018,1 year,Not Specified,Out-of-school learning,Adolescents; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Program/operating support
"Blue Hills Bank Foundation, Inc.",Emerge Inc,"2,500",2018,1 year,Not Specified,Leadership development,Women and girls; Men and boys; People of Latin American descent; Victims of crime and abuse,Program support,Cash grants,PROGRAM SUPPORT
Community Foundation of Western Massachusetts,Pioneer Valley Workers Center,"2,500",2018,1 year,Economic Development,Economic development,Ethnic and racial groups; Immigrants; Low-income people; Working poor,Program support,Cash grants,Pioneer Valley Workers Center
Demoulas Market Basket Foundation,"Lowell Parks and Conservation Trust, Inc.","2,500",2018,1 year,Not Specified,Land resources,Age Groups; Ethnic and racial groups,Not Specified,Cash grants,Not Specified
"Eversource Energy Foundation, Inc.",Neighborhood Of Affordable Housing (NOAH),"2,500",2018,1 year,Not Specified,Community improvement,Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
Food and Nutrition Resources Foundation Inc.,The Food Project,"2,500",2018,1 year,Not Specified,Organic farming,Adolescents; Ethnic and racial groups; Low-income people,Not Specified,Cash grants,Not Specified
Grassroots Infrastructure Charitable Foundation,Grow Native Massachusetts Inc.,"2,500",2018,1 year,Not Specified,Public finance,Indigenous peoples,Program support,Cash grants,TO FURTHER RECIPIENT'S TAX-EXEMPT PURPOSE
Grassroots Infrastructure Charitable Foundation,COMMUNITY WORKS INC,"2,500",2018,1 year,Not Specified,Public finance,Economically disadvantaged people,Program support,Cash grants,TO FURTHER RECIPIENT'S TAX-EXEMPT PURPOSE
Highland Street Foundation,"Hyde Square Task Force, Inc.","2,500",2018,1 year,Not Specified,Community improvement,Children and youth; Ethnic and racial groups; Low-income people,Not Specified,Cash grants,For community
Highland Street Foundation,"My Brother's Table, Inc.","2,500",2018,1 year,Not Specified,Food aid,Ethnic and racial groups,Not Specified,Cash grants,For community
Jackson and Irene Golden 1989 Charitable Trust,InnerCity Weightlifting,"2,500",2018,1 year,Not Specified,Crime prevention,Ethnic and racial groups; Victims of crime and abuse,General support; Advocacy; Systems reform; Equal access,Cash grants,Unrestricted unrestricted
"John W. Henry Family Foundation, Inc.",The Food Project,"2,500",2018,1 year,Not Specified,Food aid,Adolescents; Ethnic and racial groups; Low-income people,System and operational improvements,Cash grants,To fund operations
Kathleen L. and Michael J. Rainen Family Foundation,Jewish Vocational Service,"2,500",2018,1 year,Not Specified,Vocational rehabilitation,Jewish people,Not Specified,Cash grants,Charitable
Mansfield Community Charitable Foundation Inc.,Literacy Center Inc.,"2,500",2018,1 year,Not Specified,ESL and second language acquisition,People of Latin American descent,Program support,Cash grants,ENGLISH FOR ADVANCEMENT ESL PROGRAM
Moses Kimball Fund,"Epiphany School, Inc.","2,500",2018,1 year,Not Specified,Middle school education,Preteens; Ethnic and racial groups; Protestants; Low-income people; Students,Not Specified,Cash grants,GRADUATE SUPPORT PROGRAM
Neil & Anna Rasmussen Foundation,The Food Project,"2,500",2018,1 year,Not Specified,Basic and emergency aid,Adolescents; Ethnic and racial groups; Low-income people,General support,Cash grants,Unrestricted contribution
"Palace Head Foundation, Inc.",Steps to Success,"2,500",2018,1 year,Not Specified,Education services,Low-income people,Program support,Cash grants,COMMUNITY & CHARITABLE
