Funder Name,City,State,Country,* Value of Grants,Number of Grants,Details
Lisette S. Venier Charitable Foundation,Marblehead,MA,United States,"$27,000",9,
Craig B. Tate Foundation,Stamford,CT,United States,"$27,000",6,
Kahn Family Charitable Foundation,Wellesley,MA,United States,"$27,000",2,
Weld Foundation,Boston,MA,United States,"$27,000",2,
Institute for Asian Pacific American Leaders,Washington,DC,United States,"$27,000",1,
"The Aflac Foundation, Inc.",Columbus,GA,United States,"$27,000",1,
Goyal Family Charitable Foundation,Natick,MA,United States,"$26,950",12,
Rochester Area Community Foundation,Rochester,NY,United States,"$26,878",14,
Eastern Charitable Foundation,Cambridge,MA,United States,"$26,800",16,
Voya Foundation,Atlanta,GA,United States,"$26,597",24,
Maurice & Carol Feinberg Family Foundation,New York City,NY,United States,"$26,500",2,
Astraea Foundation,New York City,NY,United States,"$26,300",3,
"American Psychiatric Publishing, Inc.",Arlington,VA,United States,"$26,058",1,
The Devereaux Charitable Foundation Trust,Boston,MA,United States,"$26,030",7,
Robert W. & Gladys S. Meserve Charitable Trust,Boston,MA,United States,"$26,000",8,
The Jeffrey Horvitz Foundation,Cleveland,OH,United States,"$26,000",6,
John T. Gorman Foundation,Portland,ME,United States,"$26,000",4,
Lennox Foundation,Wilmington,DE,United States,"$26,000",2,
The Horwitz Family Memorial Foundation,Sammamish,WA,United States,"$26,000",2,
J. Paul Getty Trust,Los Angeles,CA,United States,"$25,900",2,
Rubenstein Family Trust,Marion,MA,United States,"$25,850",8,
Elizabeth Morse Genius Charitable Trust,Chicago,IL,United States,"$25,100",2,
Cold Brook Fund,Boston,MA,United States,"$25,000",10,
Neil & Anna Rasmussen Foundation,Concord,MA,United States,"$25,000",9,
Susan and Barry Tatelman Family Foundation,Boston,MA,United States,"$25,000",9,
Cogswell Benevolent Trust,Manchester,NH,United States,"$25,000",5,
The Caldwell-Fisher Charitable Foundation,Menlo Park,CA,United States,"$25,000",5,
Salvatore Giordano Foundation,Vero Beach,FL,United States,"$25,000",4,
Grace & Hope Foundation,Stuart,FL,United States,"$25,000",3,
Grand Rapids Community Foundation,Grand Rapids,MI,United States,"$25,000",3,
Northeast Energy and Commerceassociation Inc,Needham,MA,United States,"$25,000",3,
Sartain Lanier Family Foundation Charities,Atlanta,GA,United States,"$25,000",3,
"Cruise Industry Charitable Foundation, Inc.",Washington,DC,United States,"$25,000",2,
Grace E. Brooks Trust,Providence,RI,United States,"$25,000",2,
Howard Home for Aged Men in the City of Brockton,Brockton,MA,United States,"$25,000",2,
"Leo Niessen, Jr. Charitable Trust",Las Vegas,NV,United States,"$25,000",2,
"Southern Poverty Law Center, Inc.",Montgomery,AL,United States,"$25,000",2,
"Thdf Ii, Inc.",Atlanta,GA,United States,"$25,000",2,
A Hand Up Charitable Foundation,Leominster,MA,United States,"$25,000",1,
"Alden Family Foundation, Inc.",Vero Beach,FL,United States,"$25,000",1,
Ascena Foundation,Mahwah,NJ,United States,"$25,000",1,
Aspen Community Foundation,Basalt,CO,United States,"$25,000",1,
Audrey and Martin Gruss Foundation,West Palm Beach,FL,United States,"$25,000",1,
"Bob Barker Company Foundation, Inc.",Fuquay Varina,NC,United States,"$25,000",1,
Caesars Foundation,Las Vegas,NV,United States,"$25,000",1,
Chester & Muriel Dawes Charitable Foundation,Boston,MA,United States,"$25,000",1,
Cme Group Foundation,Chicago,IL,United States,"$25,000",1,
Conrad N. Hilton Foundation,Agoura Hills,CA,United States,"$25,000",1,
Country Club of the South Charity Guild,Alpharetta,GA,United States,"$25,000",1,
Do Something Great Today,San Francisco,CA,United States,"$25,000",1,
Edward A. and Ai O. Shay Family Foundation,Los Angeles,CA,United States,"$25,000",1,
Edward Charles Foundation,Beverly Hills,CA,United States,"$25,000",1,
Five Together Foundation,Philadelphia,PA,United States,"$25,000",1,
Gipson Family Foundation,Raleigh,NC,United States,"$25,000",1,
Glen A. Taylor Foundation,North Mankato,MN,United States,"$25,000",1,
Harriet B. Bayley Trust,Pittsburgh,PA,United States,"$25,000",1,
"Herrman Family Charitable Foundation, Inc.",Framingham,MA,United States,"$25,000",1,
Iger Bay Foundation,Wilmington,DE,United States,"$25,000",1,
Indus Charitable Foundation Inc.,New York City,NY,United States,"$25,000",1,
Institute for Innovation Inc,South Bend,IN,United States,"$25,000",1,
Islamic Relief Usa,Alexandria,VA,United States,"$25,000",1,
Key Lime Foundation,Boston,MA,United States,"$25,000",1,
Leclerc Charity Fund,Wilmington,DE,United States,"$25,000",1,
Mackesy Family Foundation,Bronxville,NY,United States,"$25,000",1,
Mcauley Ministries,Pittsburgh,PA,United States,"$25,000",1,
"Mcleod Blue Skye Charitable Foundation, Inc.",Branford,CT,United States,"$25,000",1,
Multiple Recipients,White Plains,NY,United States,"$25,000",1,
Nan and Matilda Heydt Fund,Providence,RI,United States,"$25,000",1,
National Center for Families Learning,Louisville,KY,United States,"$25,000",1,
Perry V. Haines Foundation,Sioux City,IA,United States,"$25,000",1,
Quitiplas Foundation,Wilmington,DE,United States,"$25,000",1,
Regions/Amsouth Foundation,Mobile,AL,United States,"$25,000",1,
Robert F. Kennedy Center for Justice and Human Rights,Washington,DC,United States,"$25,000",1,
Sunshine Lady Humanitarian Grants Program Inc,Boston,MA,United States,"$25,000",1,
Taitanchi Foundation Inc,Atlanta,GA,United States,"$25,000",1,
The Anthony & Gladys Sakowich,Tilton,NH,United States,"$25,000",1,
"The Bouncer Foundation, Inc.",New York City,NY,United States,"$25,000",1,
The Chace Fund Inc,Providence,RI,United States,"$25,000",1,
The Precourt Foundation,Edwards,CO,United States,"$25,000",5,
Windhover Foundation,Corning,NY,United States,"$25,000",5,
The Wiesler Family Foundation,Boston,MA,United States,"$25,000",4,
Wind Point Foundation,Portland,ME,United States,"$25,000",4,
Wilderness Point Foundation,Boston,MA,United States,"$25,000",3,
Winning Home Inc.,Concord,MA,United States,"$25,000",3,
The Cpmg Foundation,Washington,DC,United States,"$25,000",2,
"The David and Barbara B. Hirschhorn Foundation, Inc.",Baltimore,MD,United States,"$25,000",2,
The Henry J. Kaiser Family Foundation,San Francisco,CA,United States,"$25,000",2,
The Robert F. Quinn Foundation,Boston,MA,United States,"$25,000",2,
The Thomas Scattergood Behavioral Health Foundation,Philadelphia,PA,United States,"$25,000",2,
The Darby Foundation,Seattle,WA,United States,"$25,000",1,
"The David Tepper Charitable Foundation, Inc.",Livingston,NJ,United States,"$25,000",1,
The Diane and Darryl Mallah Family Foundation,Roslyn,NY,United States,"$25,000",1,
The Hahn Family Foundation,Orlando,FL,United States,"$25,000",1,
The Mara & Ricky Sandler Foundation,New York City,NY,United States,"$25,000",1,
The Meadowlark Foundation,Saratoga Springs,NY,United States,"$25,000",1,
"The New York Women'S Foundation, Inc.",New York City,NY,United States,"$25,000",1,
The Nick and Leslie Hanauer Foundation,Seattle,WA,United States,"$25,000",1,
"The Oaklawn Foundation, Inc.",Old Greenwich,CT,United States,"$25,000",1,
The Offield Family Foundation,Chicago,IL,United States,"$25,000",1,
The Rich Foundation Inc,Atlanta,GA,United States,"$25,000",1,
The Robert and Kate Niehaus Foundation,New York City,NY,United States,"$25,000",1,
The Thomas O. and Cinda Hicks Foundation,Dallas,TX,United States,"$25,000",1,
The Zoe Foundation,Northampton,MA,United States,"$25,000",1,
"Tiger Baron Foundation, Inc.",New York City,NY,United States,"$25,000",1,
Tinker Island Foundation,Boston,MA,United States,"$25,000",1,
Together Women Rise,Greenville,SC,United States,"$25,000",1,
Towerbrook Foundation,New York City,NY,United States,"$25,000",1,
Turner Family Foundation,Berwyn,PA,United States,"$25,000",1,
"Zeist Foundation, Inc.",Atlanta,GA,United States,"$25,000",1,
Zide Family Foundation,Stamford,CT,United States,"$25,000",1,
Foundation for Louisiana,Baton Rouge,LA,United States,"$24,980",1,
W.M.N. Foundation,Long Lake,MN,United States,"$24,829",1,
"Gretchen V. & Samuel M. Feldman Private Foundation, Inc.",Owings Mills,MD,United States,"$24,665",11,
Edmund & Betsy Cabot Charitable Foundation,Boston,MA,United States,"$24,500",13,
C. Leroy Miller Charitable Foundation,Hyannis,MA,United States,"$24,300",6,
The Philadelphia Foundation,Philadelphia,PA,United States,"$24,225",11,
Ethel Kennedy Foundation,Cambridge,MA,United States,"$24,203",4,
Hamill Family Foundation,Chicago,IL,United States,"$24,000",15,
The Howard Johnson Foundation,Providence,RI,United States,"$24,000",9,
"Boveri-Trackman Family Foundation, Inc.",Wellesley,MA,United States,"$24,000",8,
"The Fuller Foundation, Inc.",Rye Beach,NH,United States,"$24,000",7,
Service League Foundation,Springfield,MA,United States,"$24,000",5,
"The Whelan Family Foundation, Inc.",Vero Beach,FL,United States,"$24,000",4,
Hegi Family Foundation,Dallas,TX,United States,"$24,000",3,
Pettus Foundation,Creve Coeur,MO,United States,"$24,000",3,
Thompson Family Foundation,Bedford Heights,OH,United States,"$24,000",1,
The Pittsburgh Foundation,Pittsburgh,PA,United States,"$23,935",12,
"Boston Evening Clinic Foundation, Inc.",Newton,MA,United States,"$23,750",4,
"Saint Francis Community Health Care, Inc.",Westborough,MA,United States,"$23,750",3,
Thomas S. Gunning Scholarship Foundation,Braintree,MA,United States,"$23,500",10,
Gulf Coast Community Foundation Inc,Venice,FL,United States,"$23,500",5,
Home Street Foundation,Seattle,WA,United States,"$23,500",1,
Stone Family Charitable Foundation,Brighton,MA,United States,"$23,475",9,
1997 John & Mary Murphy Educational Foundation,Winchester,MA,United States,"$23,200",3,
The Ned and Emily Sherwood Family Foundation,Indianapolis,IN,United States,"$23,000",4,
"Lois M. Fontana Charitable Foundation, Inc.",Hingham,MA,United States,"$23,000",3,
Windhorse Foundation,Charlottesville,VA,United States,"$23,000",3,
Calvert Social Investment Foundation Inc,Bethesda,MD,United States,"$23,000",2,
Carl Lesnor Family Foundation,Woodbury,NY,United States,"$23,000",2,
James W. Rollins Charitable Trust,Boston,MA,United States,"$23,000",2,
Nisource Charitable Foundation,Columbus,OH,United States,"$22,980",5,
The Berger-Marks Foundation,Washington,DC,United States,"$22,790",3,
Zampell Family Foundation,Wenham,MA,United States,"$22,750",5,
Fisk Relief Fund,Providence,RI,United States,"$22,600",3,
The Baker Family Trust,Wellesley,MA,United States,"$22,500",9,
Lederer Foundation,Lakewood,CO,United States,"$22,500",5,
Mccoy Family Charitable Foundation,Boston,MA,United States,"$22,500",5,
The Overbrook Foundation,New York City,NY,United States,"$22,500",5,
Kate Risley Foundation,Wilmington,DE,United States,"$22,500",3,
The Calamus Foundation,Pearl River,NY,United States,"$22,500",3,
Triangle Community Foundation,Durham,NC,United States,"$22,500",3,
Webster Family Foundation,Omaha,NE,United States,"$22,500",3,
The Boisi Family Foundation,New York City,NY,United States,"$22,500",2,
"The James M. Cox Foundation of Georgia, Inc.",Atlanta,GA,United States,"$22,500",2,
The Morris A. Hazan Family Foundation,Los Angeles,CA,United States,"$22,500",1,
The Herb Alpert Foundation,Santa Monica,CA,United States,"$22,462",1,
United Way of Bergen County,Paramus,NJ,United States,"$22,310",1,
Robert Treat Paine Association,Bellingham,MA,United States,"$22,250",15,
Deupree Family Foundation,Collinsville,CT,United States,"$22,125",7,
Albert Pratt Charitable Trust,Boston,MA,United States,"$22,089",1,
La Fetra Foundation,Berkeley,CA,United States,"$22,000",3,
The Linden Foundation Inc.,Boston,MA,United States,"$22,000",3,
The Bailey Foundation Inc.,Stamford,CT,United States,"$22,000",2,
Church of the Good Shepherd,Stuart,FL,United States,"$21,500",7,
Deluxe Corporation Foundation,Saint Paul,MN,United States,"$21,500",3,
Deborah and Robert First Family Foundation,Weston,MA,United States,"$21,487",10,
The Bay State Federal Savings Charitable Foundation,Sagamore Beach,MA,United States,"$21,350",23,
Elliott Badgley Foundation Inc.,Hingham,MA,United States,"$21,000",7,
"Menemsha Fund, Inc.",New York City,NY,United States,"$21,000",6,
Annenberg Foundation,Conshohocken,PA,United States,"$21,000",4,
Knafel Family Foundation,New York City,NY,United States,"$21,000",4,
The Benjamin Fund,Miami,FL,United States,"$21,000",4,
The Deluca Family Charitable Trust,Andover,MA,United States,"$21,000",4,
Charlotte Y. Martin Foundation,Seattle,WA,United States,"$21,000",3,
The Elms Foundation,Providence,RI,United States,"$21,000",3,
Feitler Family Fund,Chicago,IL,United States,"$21,000",2,
The Fleetwing Charitable Foundation Trust,Wilmington,DE,United States,"$21,000",2,
The Hagerty Family Foundation,Cambridge,MA,United States,"$21,000",2,
The Sodhani Foundation Inc,Somerset,NJ,United States,"$21,000",2,
The Russell and Carey Jeffrey Family Foundation,East Greenwich,RI,United States,"$21,000",1,
Weyerhaeuser Family Foundation,Saint Paul,MN,United States,"$20,900",1,
Loren Mcpherson Charitable Trust,Norwich,NY,United States,"$20,857",1,
We Share A Common Thread (Jdcu),Lowell,MA,United States,"$20,800",9,
"Salem Five Charitable Foundation, Inc.",Salem,MA,United States,"$20,755",17,
The Albright Foundation,Brookline,MA,United States,"$20,450",21,
The Tyler Family Foundation,Boston,MA,United States,"$20,370",6,
Brady Corporation Foundation Inc.,Milwaukee,WI,United States,"$20,156",2,
David Greenewalt Charitable Trust,Boston,MA,United States,"$20,000",6,
"O'Connell Family Foundation, Inc.",Greenwich,CT,United States,"$20,000",6,
"Kanter Kallman Foundation, Inc.",Santa Fe,NM,United States,"$20,000",5,
"The Eganwood Family Foundation, Inc.",Philadelphia,PA,United States,"$20,000",5,
Anthony/Maymudes Family Foundation,Seattle,WA,United States,"$20,000",4,
Flagship Foundation,Toledo,OH,United States,"$20,000",4,
Mark S. and Donna Leventhal Family Foundation Inc.,Brookline,MA,United States,"$20,000",4,
"The Dts Charitable Foundation, Inc.",Waltham,MA,United States,"$20,000",4,
The George W. Bauer Family Foundation,Cranford,NJ,United States,"$20,000",4,
Cornell Family Foundation,New York City,NY,United States,"$20,000",3,
Joseph & Irene Skalny Charitable Trust,New York City,NY,United States,"$20,000",3,
Shirley Shattuck Windsor Charitable Trust,Boston,MA,United States,"$20,000",3,
Unfi Foundation,Providence,RI,United States,"$20,000",3,
Adp Foundation,Roseland,NJ,United States,"$20,000",2,
Amy and Chip Pearson Family Foundation,Saint Paul,MN,United States,"$20,000",2,
Chip Miller Charitable Foundation,Carlisle,PA,United States,"$20,000",2,
Clayton Baker Trust,Baltimore,MD,United States,"$20,000",2,
Curvey Family Foundation,Boston,MA,United States,"$20,000",2,
Fanny B. Reed Trust,Pittsburgh,PA,United States,"$20,000",2,
Fieldstone 1793 Foundation,Plymouth Meeting,PA,United States,"$20,000",2,
Harman Family Foundation,Palo Alto,CA,United States,"$20,000",2,
Harold T. N. Smith Memorial Foundation,Salem,MA,United States,"$20,000",2,
Interactive Intelligence Foundation Corp.,Indianapolis,IN,United States,"$20,000",2,
Mazon: A Jewish Response to Hunger,Los Angeles,CA,United States,"$20,000",2,
Meehan Foundation,New York City,NY,United States,"$20,000",2,
Movement Strategy Center,Oakland,CA,United States,"$20,000",2,
Pga Tour,Ponte Vedra,FL,United States,"$20,000",2,
Sit Investment Associates Foundation,Minneapolis,MN,United States,"$20,000",2,
The Adjuvant Foundation,Chicago,IL,United States,"$20,000",2,
The Aspen Institute,Washington,DC,United States,"$20,000",2,
"The Catherine H. and John H. Crawford, Iii Family Foundation, Inc.",Atlanta,GA,United States,"$20,000",2,
"The Millstream Fund, Inc.",Bethesda,MD,United States,"$20,000",2,
Amy Falls and Hartley Rogers Foundation,Locust Valley,NY,United States,"$20,000",1,
Associated Jewish Charities of Baltimore,Baltimore,MD,United States,"$20,000",1,
"F. M. Kirby Foundation, Inc.",Morristown,NJ,United States,"$20,000",1,
Gilson Family Foundation Inc.,Marblehead,MA,United States,"$20,000",1,
Healey Family Foundation,Morristown,NJ,United States,"$20,000",1,
"Hoffberger Foundation, Inc.",Baltimore,MD,United States,"$20,000",1,
"Horace A. Moses Foundation, Inc.",Boston,MA,United States,"$20,000",1,
Institute for Healthcare Improvement,Boston,MA,United States,"$20,000",1,
J.M. Kaplan Fund,New York City,NY,United States,"$20,000",1,
James Lee and Annanette Harper Family Foundation,Dallas,TX,United States,"$20,000",1,
Jewish Federation of Cincinnati,Cincinnati,OH,United States,"$20,000",1,
Margulf Foundation,Denver,CO,United States,"$20,000",1,
Martha and Spencer Love Foundation,Grand Rapids,MI,United States,"$20,000",1,
Mary D. Whitney Trust,Pittsburgh,PA,United States,"$20,000",1,
Mary Kay Foundation,Dallas,TX,United States,"$20,000",1,
"Melza M. and Frank Theodore Barr Foundation, Inc.",Houston,TX,United States,"$20,000",1,
Milton A & Charlotte R Kramer Foundation,Cleveland,OH,United States,"$20,000",1,
Robert A. Day Foundation,Los Angeles,CA,United States,"$20,000",1,
Sandra & Arnold Gold Humanism Research Fund Inc,Englewood,NJ,United States,"$20,000",1,
"Sarita Kenedy East Foundation, Inc.",Mount Kisco,NY,United States,"$20,000",1,
Teach Foundation,Hartsville,SC,United States,"$20,000",1,
"The Allen Family Foundation, Inc.",New York City,NY,United States,"$20,000",1,
The Bauman Foundation,Washington,DC,United States,"$20,000",1,
The Careth Foundation Inc.,Duvall,WA,United States,"$20,000",1,
"The Conference on Jewish Material Claims Against Germany, Inc.",New York City,NY,United States,"$20,000",1,
The D & P Foundation Inc,Windermere,FL,United States,"$20,000",1,
The Duke of Omnium Fund,New York City,NY,United States,"$20,000",1,
The Harbus Foundation,Boston,MA,United States,"$20,000",1,
The Jacob and Hilda Blaustein Foundation Inc,Baltimore,MD,United States,"$20,000",1,
The Kbk Foundation,Denver,CO,United States,"$20,000",1,
The Leo M. Shortino Family Foundation,San Jose,CA,United States,"$20,000",1,
The Morris and Gwendolyn Cafritz Foundation,Washington,DC,United States,"$20,000",1,
The Staten Island Foundation,Staten Island,NY,United States,"$20,000",1,
Wallace Genetic Foundation Ii Inc,Washington,DC,United States,"$20,000",1,
Warsh-Mott Legacy,Freestone,CA,United States,"$20,000",1,
Yoga Science Foundation,Ashland,OR,United States,"$20,000",1,
Maine Health Access Foundation,Augusta,ME,United States,"$19,987",1,
The Ludes Family Foundation,Marion,MA,United States,"$19,750",11,
"Land Trust Alliance, Inc.",Washington,DC,United States,"$19,560",1,
The Kelly and Michael Tzannes Foundation,Lexington,MA,United States,"$19,500",9,
Goodman-Lipman Family Foundation Inc.,Larchmont,NY,United States,"$19,500",6,
3M Foundation,Saint Paul,MN,United States,"$19,500",3,
Springwell Inc.,Waltham,MA,United States,"$19,232",2,
Sullivan Family Foundation,Atlanta,GA,United States,"$19,150",10,
Richard and Bette Saltzman Foundation,New York City,NY,United States,"$19,120",6,
Community Foundation of Northern Colorado,Fort Collins,CO,United States,"$19,119",1,
Emerson Charitable Trust,St. Louis,MO,United States,"$19,000",3,
"Giarla, Michelson & Carr Charitable Foundation",Chapel Hill,NC,United States,"$19,000",3,
The Christopher Catanese Children'S Foundation,Dover,MA,United States,"$19,000",2,
"Johnson & Johnson Family of Companies Contribution Fund., Inc.",New Brunswick,NJ,United States,"$18,935",12,
Greenroots,Chelsea,MA,United States,"$18,750",2,
Sunflower Foundation,Santa Barbara,CA,United States,"$18,500",7,
The Palmedo Family Foundation Inc.,Ketchum,ID,United States,"$18,500",7,
Albert Shapiro Fund Inc.,Cambridge,MA,United States,"$18,500",6,
J. F Maddox Foundation,Hobbs,NM,United States,"$18,500",4,
Tauck Romano Innovative Philanthropy Inc.,Wilmington,DE,United States,"$18,500",3,
The Ruane Family Foundation Formerly Known As Ccj Foundation,North Palm Beach,FL,United States,"$18,500",3,
Wendell Family Foundation,San Mateo,CA,United States,"$18,150",7,
The California Endowment,Los Angeles,CA,United States,"$18,139",2,
Frances R. Dewing Foundation,Boston,MA,United States,"$18,009",11,
The Kalan Foundation,Gladwyne,PA,United States,"$18,000",6,
Catherine Mccarthy Memorial Trust Fund,Providence,RI,United States,"$18,000",3,
Macy'S Foundation,Cincinnati,OH,United States,"$18,000",3,
"Nlt Foundation, Inc.",Cincinnati,OH,United States,"$18,000",3,
"The Homestead Foundation, Inc.",Atlanta,GA,United States,"$18,000",3,
Blakeley Foundation,Boston,MA,United States,"$18,000",2,
National Forest Foundation,Missoula,MT,United States,"$18,000",2,
Underdog Foundation,Island Pond,VT,United States,"$18,000",2,
Everett W. & Marion E. Mitchell Foundation,Boston,MA,United States,"$17,994",2,
Kendrick Foundation,Providence,RI,United States,"$17,926",2,
Co Tua Flint Charitable Trust,Providence,RI,United States,"$17,729",4,
Apex Foundation,Bellevue,WA,United States,"$17,563",3,
Lee and Luis Lainer Family Foundation,Van Nuys,CA,United States,"$17,500",7,
Paul & Virginia Cabot Charitable Trust,Boston,MA,United States,"$17,500",7,
Snider Family Foundation,Chicago,IL,United States,"$17,500",5,
Friends of Frieda Garcia Park Inc.,Boston,MA,United States,"$17,500",4,
The Ross-Webb Fund,South Dartmouth,MA,United States,"$17,500",4,
Marvin & Betty Borman Foundation,Minneapolis,MN,United States,"$17,500",3,
Sherry and Alan Leventhal Family Foundation,Boston,MA,United States,"$17,500",3,
The Howard A. Van Vleck Foundation,Lyme,NH,United States,"$17,500",3,
"Bluestein Family Foundation, Inc.",Westwood,NJ,United States,"$17,500",2,
Curry & Downey Scholarship Trust,Boston,MA,United States,"$17,500",1,
Philip S. Harper Foundation,Weston,VT,United States,"$17,250",6,
Zakaria Family Foundation,Jersey City,NJ,United States,"$17,200",3,
For Inspiration and Recognition of Science and Technology (First),Manchester,NH,United States,"$17,126",2,
Joseph & Katherine O'Donnell Charitable Trust,Boston,MA,United States,"$17,000",10,
The William H.G. Fitzgerald Family Foundation,Boulder,CO,United States,"$17,000",7,
"Tim and Barbara Schweizer Foundation, Inc.",Brooklandville,MD,United States,"$17,000",3,
Edna Wardlaw Charitable Trust,Orlando,FL,United States,"$17,000",2,
Leveling the Playing Field,Silver Spring,MD,United States,"$16,959",1,
Dickinson Family Foundation Inc.,Oradell,NJ,United States,"$16,900",5,
Agape Foundation,Watertown,MA,United States,"$16,854",4,
Charles H. Cross Charitable Foundation,Boston,MA,United States,"$16,800",5,
James & Melinda Rabb Family Foundation,Weston,MA,United States,"$16,792",9,
New Breeze Foundation,Quincy,MA,United States,"$16,700",7,
Mancini Charitable Foundation,Portland,OR,United States,"$16,650",8,
"Aurelian and Anahid Mardirosian Charitable Foundation, Inc.",Lynnfield,MA,United States,"$16,630",3,
"Charlotte Palmer Phillips Foundation, Inc.",Boston,MA,United States,"$16,500",7,
"Douglas and Susan Present Family Foundation, Inc.",Summit,NJ,United States,"$16,500",5,
The Dudley Foundation,Bellingham,WA,United States,"$16,500",3,
The Lodish Family Foundation Inc.,Brookline,MA,United States,"$16,450",11,
Sabatino Foundation,Lenexa,KS,United States,"$16,394",2,
The Charles and Cerise Jacobs Charitable Foundation,Brookline,MA,United States,"$16,300",4,
The Crawford Foundation,Boston,MA,United States,"$16,200",4,
British Society,Sudbury,MA,United States,"$16,104",2,
The Hodges Family Foundation,Durham,NC,United States,"$16,000",8,
"East Cambridge Savings Charitable Foundation, Inc.",East Cambridge,MA,United States,"$16,000",6,
Horace A. Moses Charitable Trust,Providence,RI,United States,"$16,000",6,
Luke Charitable Foundation,Pawtucket,RI,United States,"$16,000",5,
"Maximus Foundation, Inc.",Reston,VA,United States,"$16,000",5,
Henderson Foundation,Sudbury,MA,United States,"$16,000",4,
The George S. Bissell Charitable Foundation,Wellesley,MA,United States,"$16,000",4,
Wodecroft Foundation,Cincinnati,OH,United States,"$16,000",4,
Play 2 Dream Charitable Foundation,Boston,MA,United States,"$16,000",3,
The Evelyn Sharp Foundation,New York City,NY,United States,"$16,000",3,
Mazar Family Charitable Foundation Trust,Boston,MA,United States,"$15,800",7,
"Fieldstone Foundation, Inc.",Stow,MA,United States,"$15,750",14,
The Freshman Fifteen,New York City,NY,United States,"$15,636",2,
Katharine H. Neale Trust,Pittsburgh,PA,United States,"$15,625",1,
Wellesley Bank Charitable Foundation Inc.,Burlington,MA,United States,"$15,505",10,
The Perls Foundation,Boston,MA,United States,"$15,500",16,
Forman Family Charitable Trust,Providence,RI,United States,"$15,500",7,
The Lance R. Wachenheim Foundation,Purchase,NY,United States,"$15,500",5,
Erik & Dorrit Pfau Charitable Trust,Swampscott,MA,United States,"$15,500",4,
"Rita J. and Stanley H. Kaplan Family Foundation, Inc.",New York City,NY,United States,"$15,500",4,
Aspen Business Center Foundation,Aspen,CO,United States,"$15,500",3,
The Banyan Fund,Boston,MA,United States,"$15,500",3,
"Institution for Savings Charitable Foundation, Inc.",Newburyport,MA,United States,"$15,500",2,
Wish You Well Foundation,New York City,NY,United States,"$15,400",2,
"Ice Nyse Foundation, Inc., Inc.",Atlanta,GA,United States,"$15,350",6,
G A Fowler Family Foundation,Irvine,CA,United States,"$15,250",2,
The Fremont Group Foundation,San Francisco,CA,United States,"$15,250",2,
The Van Der Stricht Foundation,Wilmington,DE,United States,"$15,174",2,
Mark Alan Sinclair Foundation,Carmel-By-The-Sea,CA,United States,"$15,100",5,
E. Nakamichi Foundation,Culver City,CA,United States,"$15,000",5,
De La Cour Family Foundation,Glen Cove,NY,United States,"$15,000",4,
Dollar General Literacy Foundation,Goodlettsville,TN,United States,"$15,000",4,
Assurant Foundation,New York City,NY,United States,"$15,000",3,
Clara L. D. Jeffery Charitable Trust,Providence,RI,United States,"$15,000",3,
"Henry Hornblower Fund, Inc.",Plymouth,MA,United States,"$15,000",3,
John and Frances Strachan Charitable Foundation,Williamstown,MA,United States,"$15,000",3,
"Cathcart Millennium Foundation, Inc.",Carpinteria,CA,United States,"$15,000",2,
Jane B. Cook 1983 Charitable Trust,Boston,MA,United States,"$15,000",2,
Jewish Federation of Palm Beach County Inc,West Palm Beach,FL,United States,"$15,000",2,
America'S Promise--The Alliance for Youth,Washington,DC,United States,"$15,000",1,
Bartley J Madden Foundation,Naples,FL,United States,"$15,000",1,
Bloomfield Family Foundation,Portland,OR,United States,"$15,000",1,
Building Hope F Inance,Washington,DC,United States,"$15,000",1,
Community Foundation for Greater New Haven,New Haven,CT,United States,"$15,000",1,
"Fis Foundation, Inc.",Jacksonville,FL,United States,"$15,000",1,
Grace River Foundation,Boston,MA,United States,"$15,000",1,
Hamm Family Foundation Inc.,Mystic,CT,United States,"$15,000",1,
"Hilltop Foundation, Inc.",New Canaan,CT,United States,"$15,000",1,
Josephine M. & Rita C. Mastracci Charitable Foundation 15025296,Boston,MA,United States,"$15,000",1,
Lef Foundation,Calistoga,CA,United States,"$15,000",1,
Manuel D. & Rhoda Mayerson Foundation,Cincinnati,OH,United States,"$15,000",1,
New Bedford Day Nursery Inc.,New Bedford,MA,United States,"$15,000",5,
Wilkinson Foundation,Chelsea,MI,United States,"$15,000",4,
Martin R. Prince Charitable Foundation Inc.,New York City,NY,United States,"$15,000",3,
Peach Pit Foundation,Durham,CT,United States,"$15,000",3,
Publix Super Markets Charities,Lakeland,FL,United States,"$15,000",3,
Rauch Foundation,Garden City,NY,United States,"$15,000",3,
Souren Maroukian Trust to Perpetuate Armenian Culture,Ventnor City,NJ,United States,"$15,000",3,
The David Frawley 2003 Foundation,Boston,MA,United States,"$15,000",3,
The Ray and Wyn Ritchie Evans Foundation,Culver City,CA,United States,"$15,000",3,
The Ryan Family Foundation,North Palm Beach,FL,United States,"$15,000",3,
The San Diego Foundation,San Diego,CA,United States,"$15,000",3,
The Sl 2012 Fund,New York City,NY,United States,"$15,000",3,
Walther Foundation,San Francisco,CA,United States,"$15,000",3,
Whole Cities Foundation,Austin,TX,United States,"$15,000",3,
Melvoin Foundation,Highland Park,IL,United States,"$15,000",2,
Richard & Susan Smith 1990 Charitable Trust,Newton,MA,United States,"$15,000",2,
Rogers Family Foundation,Paradise Valley,AZ,United States,"$15,000",2,
"Saucony Run for Good, Inc.",Waltham,MA,United States,"$15,000",2,
Ted Hanson Family Foundation,Northbrook,IL,United States,"$15,000",2,
