Funder Name,Funder EIN,Funder Financial Date,Funder Financial Assets,Funder Financial Expenditures,Funder Financial Total Giving,Funder Financial Grant Amount,Funder Telephone,Funder Email,Funder Website,Funder Address
Caesars Foundation,743050638,2019,"$464,124 ","$1,723,386 ","$1,668,000 ",N/A,7028804792, caesarsfoundation@caesars.com,http://www.caesarsfoundation.com,"One Caesars Palace Drive
Las Vegas, NV, United States 89109"
Chester & Muriel Dawes Charitable Foundation,813984747,2019,"$2,823,379 ","$294,040 ","$230,000 ",N/A,6174411548,N/A,N/A,"75 State St., 18th
Boston, MA, United States 02109"
CME Group Foundation,450575574,2019,"$45,141,218 ","$6,040,909 ","$5,554,332 ",N/A,3129303292, kassie.davis@cmegroupfoundation.org,http://www.cmegroupfoundation.org,"20 S Wacker Dr
Chicago, IL, United States 60606"
Conrad N. Hilton Foundation,943100217,2019,"$4,101,713,350 ","$173,592,575 ","$109,999,924 ",N/A,8188513700, communications@hiltonfoundation.org,http://www.hiltonfoundation.org,"30440 Agoura Road
Agoura Hills, CA, United States 91301"
Country Club of the South Charity Guild,581857318,2020,"$136,266 ","$304,561 ","$288,050 ","$288,050 ",4042296183,N/A,http://charityguild.org,"4435 Old Burlington Street
Alpharetta, GA, United States 30022"
Do Something Great Today,356839387,2017,$0 ,"$91,311 ","$80,023 ",N/A,9043480737, info@dosomethinggreattoday.org,http://dosomethinggreattoday.org,"3903 Washington Street
San Francisco, CA, United States 94118"
Edward A. and Ai O. Shay Family Foundation,680666992,2019,"$30,828,371 ","$1,432,313 ","$1,140,000 ",N/A,2132288121,N/A,N/A,"888 South Figueroa Street
Los Angeles, CA, United States 90017"
Edward Charles Foundation,264245043,2020,"$5,690,189 ","$9,247,976 ","$3,611,481 ","$3,403,294 ",3106943734, contactus@edwardcharlesfoundation.org,https://edwardcharlesfoundation.org/,"269 South Beverly Drive No 338
Beverly Hills, CA, United States 90212"
Five Together Foundation,256889820,2019,"$18,195,167 ","$2,185,173 ","$2,061,000 ",N/A,2156655594,N/A,N/A,"One Liberty 1650 Market St Ste 2
Philadelphia, PA, United States 191032097"
Gipson Family Foundation,562001414,2019,"$24,308,284 ","$1,557,274 ","$1,552,080 ",N/A,9198478500,N/A,N/A,"609 Brookfield Rd.
Raleigh, NC, United States 27615-1406"
Glen A. Taylor Foundation,411737411,2019,"$3,560,665 ","$632,782 ","$603,391 ",N/A,5076252828,N/A,http://www.taylorcorp.com/glenataylo...,"1725 Roe Crest Drive
North Mankato, MN, United States 56003"
Harriet B. Bayley Trust,46246000,2020,"$1,599,119 ","$92,633 ","$76,000 ",N/A,6177227626,N/A,N/A,"Po Box 185
Pittsburgh, PA, United States 152300185"
"Herrman Family Charitable Foundation, Inc.",474004605,2019,"$6,524,173 ","$358,851 ","$345,086 ",N/A,5085619226,N/A,N/A,"9 Ditullio Drive
Framingham, MA, United States 01701"
Iger Bay Foundation,800875813,2019,"$15,858,526 ","$3,255,471 ","$3,170,000 ",N/A,3027933278,N/A,N/A,"200 Belleview Pkwy, Ste. 250
Wilmington, DE, United States 19809-3747"
Indus Charitable Foundation Inc.,261496848,2019,"$1,461,535 ","$207,417 ","$174,492 ",N/A,2122122888,N/A,N/A,"888 7th Avenue
New York City, NY, United States 10019"
Institute for Innovation Inc,463754907,2019,"$433,394 ","$50,000 ","$50,000 ",N/A,8002328032,N/A,http://www.theinstituteforinnovation.org,"404 Columbia Place
South Bend, IN, United States 46601"
Islamic Relief USA,954453134,2019,"$81,701,254 ","$69,986,564 ","$41,456,970 ","$1,212,719 ",7033707202, info@irusa.org,http://www.irusa.org,"3655 Wheeler Avenue
Alexandria, VA, United States 22304"
Key Lime Foundation,816999726,2020,"$2,719,716 ","$103,112 ","$100,000 ",N/A,6177204540,N/A,N/A,"75 Park Plaza
Boston, MA, United States 02116"
Leclerc Charity Fund,46183548,2019,"$13,976,352 ","$923,619 ","$606,635 ",N/A,8008391754,N/A,N/A,"Foundation Source 501 Silverside Rd
Wilmington, DE, United States 198091377"
Mackesy Family Foundation,472587937,2019,"$17,884,434 ","$1,326,000 ","$1,233,602 ",N/A,2128939505,N/A,N/A,"8 Locust Lane
Bronxville, NY, United States 10708"
McAuley Ministries,943436142,2019,"$86,690,907 ","$3,861,737 ","$3,376,037 ","$3,376,037 ",4125786223,N/A,http://www.mcauleyministries.org,"3333 5th Ave
Pittsburgh, PA, United States"
"McLeod Blue Skye Charitable Foundation, Inc.",223216389,2020,"$11,380,475 ","$1,115,534 ","$1,020,429 ",N/A,2032081582,N/A,N/A,"86 Seaview Avenue
Branford, CT, United States 06405"
Multiple Recipients,202761633,2020,"$23,172,847 ","$1,761,717 ","$1,499,819 ",N/A,9149492990,N/A,N/A,"Co Citrin 709 Westchester Ave
White Plains, NY, United States 10604"
Nan and Matilda Heydt Fund,46136421,2019,N/A,"$7,083,580 ","$7,016,794 ",N/A,8888663275,N/A,N/A,"P O Box 1802
Providence, RI, United States 02901-1802"
National Center for Families Learning,611159549,2020,"$13,205,159 ","$10,038,590 ","$876,162 ","$876,162 ",5025841133, info@familieslearning.org,http://www.familieslearning.org,"325 West Main St Suite 300
Louisville, KY, United States 402024254"
Perry V. Haines Foundation,421419738,2020,$33 ,"$29,463 ","$27,500 ",N/A,7122523226,N/A,N/A,"613 Pierce Street
Sioux City, IA, United States 51101"
Quitiplas Foundation,261622017,2019,"$12,127,052 ","$353,389 ",N/A,N/A,8008391754,N/A,N/A,"501 Silverside Rd., Ste. 123
Wilmington, DE, United States 19809-1377"
Regions/AmSouth Foundation,582071018,2018,"$5,683,118 ","$48,764 ",N/A,N/A,2054207753,N/A,N/A,"P.O. Box 2886
Mobile, AL, United States 36652-2886"
Robert F. Kennedy Center for Justice and Human Rights,132522784,2019,"$63,899,123 ","$10,987,340 ","$474,772 ","$231,385 ",2025456671, info@rfkcenter.org,http://www.rfkcenter.org,"1300 19th Street NW
Washington, DC, United States 20036"
Sunshine Lady Humanitarian Grants Program Inc,813868962,2019,"$6,879,719 ","$6,003,449 ","$3,741,347 ",N/A,3123991326,N/A,https://letters.foundation/,"292 Newbury St
Boston, MA, United States 02115"
Taitanchi Foundation Inc,475484709,2019,"$8,320,655 ","$6,128,396 ","$5,190,655 ",N/A,4043144151,N/A,N/A,"675 Seminole Ave Ne No 112
Atlanta, GA, United States 30307"
The Anthony & Gladys Sakowich,N/A,2019,"$10,940,788 ","$550,851 ","$475,402 ",N/A,6034962075,N/A,N/A,"40 East Main Street
Tilton, NH, United States 03276"
"The Bouncer Foundation, Inc.",134119735,2018,"$8,329,348 ","$2,790,140 ","$2,429,000 ",N/A,2124085520,N/A,N/A,"17 East 62nd St.
New York City, NY, United States 10021-7204"
The Chace Fund Inc,56008849,2020,"$103,679 ","$9,205 ","$3,000 ",N/A,4018540520,N/A,N/A,"46 Aborn Street 4th Floor
Providence, RI, United States 02903"
"The Greater Barrington Foundation, Inc.",132930849,2019,"$977,287 ","$474,626 ","$472,950 ",N/A,9142859393,N/A,N/A,"7 - 11 South Broadway
White Plains, NY, United States 10601"
The Precourt Foundation,760430659,2019,"$37,790,642 ","$3,827,264 ","$3,675,050 ",N/A,9709261329,N/A,N/A,"887 Lake Road
Edwards, CO, United States 81632"
Windhover Foundation,311630033,2019,"$1,915,483 ","$143,082 ","$126,000 ",N/A,N/A,N/A,N/A,"80 E Market St Ste 300
Corning, NY, United States 14830"
The Wiesler Family Foundation,306170527,2020,"$7,072,358 ","$313,960 ","$280,000 ",N/A,2396430257,N/A,N/A,"53 State Street
Boston, MA, United States 02109"
Wind Point Foundation,274254631,2019,"$2,238,228 ","$221,178 ","$122,000 ",N/A,2077722800,N/A,N/A,"2 Canal Plz.
Portland, ME, United States 04112-7950"
Wilderness Point Foundation,202061044,2018,N/A,$391 ,$391 ,N/A,6174577513,N/A,N/A,"125 High Street
Boston, MA, United States 02110"
Winning Home Inc.,46049776,2019,"$7,012,036 ","$441,944 ","$360,833 ",N/A,9782871414,N/A,http://www.winninghome.org,"1150 Main Street No 1
Concord, MA, United States 01742"
The CPMG Foundation,472603523,2019,"$923,511 ","$50,057 ","$47,817 ",N/A,2027335455,N/A,N/A,"3401 8th Street Ne
Washington, DC, United States 20017"
"The David and Barbara B. Hirschhorn Foundation, Inc.",521489400,2019,"$49,413,517 ","$2,668,231 ","$2,223,360 ",N/A,4103477114, info@blafund.org,http://www.blaufundg/foundations/...,"co AFS One South St No 2950
Baltimore, MD, United States 21202"
The Henry J. Kaiser Family Foundation,946064808,2019,"$735,632,115 ","$54,877,435 ","$745,812 ","$743,812 ",(650) 854-9400, rwells@kff.org,http://kff.org/,"185 Berry St., Ste. 2000
San Francisco, CA, United States 94107-1704"
The Robert F. Quinn Foundation,387104654,2020,"$2,170,331 ","$176,065 ","$126,000 ",N/A,6173453000,N/A,N/A,"Burns Levinson Llp 125 High St
Boston, MA, United States 02110"
The Thomas Scattergood Behavioral Health Foundation,231352178,2020,"$31,420,143 ","$2,659,954 ","$891,366 ",N/A,2158313000, info@scattergoodfoundation.org,http://www.scattergood.com,"4641 Roosevelt Blvd
Philadelphia, PA, United States 191242399"
The Darby Foundation,800089734,2019,"$10,411,431 ","$367,440 ","$352,500 ",N/A,3603068566,N/A,N/A,"2201 Fairview Ave E No 3
Seattle, WA, United States 98102"
"The David Tepper Charitable Foundation, Inc.",223500313,2020,"$866,293,449 ","$42,007,743 ","$41,174,348 ",N/A,9737017000,N/A,N/A,"Co Appaloosa 51 JFK Pkwy No 250
Livingston, NJ, United States 07078"
The Diane and Darryl Mallah Family Foundation,208075586,2020,"$21,699,000 ","$1,353,084 ","$1,300,991 ",N/A,5164578132,N/A,N/A,"479 Greenbriar Court
Roslyn, NY, United States 115763071"
The Hahn Family Foundation,207055857,2020,"$12,070,510 ","$500,671 ","$437,000 ",N/A,8083772356,N/A,N/A,"9204 Sloane Street
Orlando, FL, United States 32827"
The Mara & Ricky Sandler Foundation,412091688,2019,"$12,306,151 ","$1,855,858 ","$1,820,000 ",N/A,2124182100,N/A,N/A,"399 Park Avenue
New York City, NY, United States 10022"
The Meadowlark Foundation,274327976,2019,"$28,946,111 ","$603,301 ","$551,863 ",N/A,5182909460,N/A,N/A,"268 Broadway 101b
Saratoga Springs, NY, United States 12866"
"The New York Women's Foundation, Inc.",133457287,2019,"$30,790,795 ","$16,698,122 ","$10,124,400 ","$10,124,400 ",2125146993, hello@nywf.org,http://www.nywf.org,"39 Broadway
New York City, NY, United States 10006"
The Nick and Leslie Hanauer Foundation,261593306,2019,"$13,553,045 ","$3,059,722 ","$2,880,393 ",N/A,2066241057,N/A,N/A,"1301 Second Avenue Suite 2850
Seattle, WA, United States 98101"
"The Oaklawn Foundation, Inc.",136127896,2019,"$20,244,053 ","$943,101 ","$745,000 ",N/A,2036373784,N/A,N/A,"III Pob 270
Old Greenwich, CT, United States 06870"
The Offield Family Foundation,366066240,2019,"$100,400,834 ","$5,358,506 ","$4,800,000 ",N/A,3123248425,N/A,N/A,"Po Box 1105
Chicago, IL, United States 60690"
THE RICH FOUNDATION INC,586038037,2020,"$50,161,563 ","$2,642,853 ","$2,323,000 ",N/A,4042622499, tasher@richfoundationatlanta.org,http://www.richfoundationatlanta.org,"3495 Piedmont Rdne Bldg 11 No
Atlanta, GA, United States 30305"
The Robert and Kate Niehaus Foundation,134007527,2019,"$31,906,928 ","$4,488,935 ","$4,155,160 ",N/A,N/A,N/A,N/A,"770 Park Avenue
New York City, NY, United States 10021"
The Thomas O. and Cinda Hicks Foundation,752570214,2019,"$717,728 ","$43,705 ","$35,000 ",N/A,2147407300,N/A,N/A,"2200 Ross Ave No 5000
Dallas, TX, United States 75201"
The Zoe Foundation,207552474,2019,"$2,322,911 ","$194,175 ","$185,750 ",N/A,4145866126,N/A,N/A,"20 Stearns Ct
Northampton, MA, United States 01060"
"Tiger Baron Foundation, Inc.",752979875,2019,"$109,854,500 ","$6,005,076 ","$4,367,756 ",N/A,2122733719,N/A,N/A,"233 Broadway Suite 2200
New York City, NY, United States 10279"
Tinker Island Foundation,473423358,2019,"$85,835,052 ","$5,748,119 ","$3,765,250 ",N/A,6036814369,N/A,N/A,"7 Water Street
Boston, MA, United States 02109"
Together Women Rise,200031928,2019,"$1,062,988 ",N/A,"$956,802 ","$956,802 ",(864) 335-8401, info@diningforwomen.org,http://www.diningforwomen.org,"400 Executive Center Drive
Greenville, SC, United States 29616"
Towerbrook Foundation,743182897,2019,"$5,210,677 ","$885,845 ","$794,827 ",N/A,2126992278, contact@towerbrook.com,https://www.towerbrook.com/responsib...,"Park Ave Tower 65 E 55th St 19 Fl
New York City, NY, United States 10022"
Turner Family Foundation,232792012,2019,"$2,453,425 ","$769,975 ","$734,300 ",N/A,6106961802,N/A,N/A,"799 Grubbs Mill Road
Berwyn, PA, United States 19312"
"Zeist Foundation, Inc.",581890927,2019,"$252,496,960 ","$15,302,794 ","$10,331,445 ",N/A,4049493160, info@zfo.net,http://www.zeistfoundation.org,"3715 Northside Pkwy. N.W., Ste. 3-195
Atlanta, GA, United States 30327-2812"
Zide Family Foundation,463046255,2019,"$24,225,910 ","$1,304,298 ","$1,200,000 ",N/A,2034225204,N/A,N/A,"77 Havemeyer Ln
Stamford, CT, United States 06902"
Foundation for Louisiana,203399944,2019,"$10,745,038 ","$4,021,209 ","$1,462,433 ","$1,462,433 ",2253831672, iflowers@foundationforlouisiana.org,http://www.foundationforlouisiana.org,"4354 S. Sherwood Forest Blvd., Suite 100
Baton Rouge, LA, United States 70816"
W.M.N. Foundation,204850609,2019,"$886,066 ","$339,749 ","$332,684 ",N/A,9524045636,N/A,N/A,"550 Tonkawa Rd.
Long Lake, MN, United States 55356"
"Gretchen V. & Samuel M. Feldman Private Foundation, Inc.",522034763,2020,"$4,166,235 ","$251,432 ","$234,585 ",N/A,4103565900,N/A,N/A,"10045 Red Run Boulevard No 250
Owings Mills, MD, United States 21117"
Edmund & Betsy Cabot Charitable Foundation,42900424,2019,"$9,942,642 ","$685,525 ","$556,350 ",N/A,6174511744,N/A,N/A,"22 Batterymarch Street
Boston, MA, United States 02109"
C. Leroy Miller Charitable Foundation,43383620,2019,"$1,079,972 ","$81,099 ","$61,500 ",N/A,5083304496,N/A,N/A,"P.O. Box 1330
Hyannis, MA, United States 02601"
The Philadelphia Foundation,231581832,2018,"$414,429,037 ","$34,874,966 ","$27,490,847 ","$27,490,847 ",2155636417, sgordon@philafound.org,http://www.philafound.org,"1835 Market Street Suite 2410
Philadelphia, PA, United States 19103"
Ethel Kennedy Foundation,112768682,2020,"$12,319,681 ","$570,050 ","$512,500 ",N/A,7722312971,N/A,N/A,"C/O Elizabeth Marran 44 Alpine St
Cambridge, MA, United States 02138"
Hamill Family Foundation,366096808,2019,"$56,593,488 ","$9,143,798 ","$8,857,762 ",N/A,3126760300,N/A,N/A,"200 W. Madison
Chicago, IL, United States 60606"
The Howard Johnson Foundation,46060965,2020,"$6,584,845 ","$308,404 ","$252,000 ",N/A,8888663275,N/A,N/A,"P O Box 1802
Providence, RI, United States 029011802"
"Boveri-Trackman Family Foundation, Inc.",43189191,2020,"$1,713,746 ","$82,858 ","$79,000 ",N/A,7812353400,N/A,N/A,"c/o Wilder Shea etal 1 Hollis St Ro
Wellesley, MA, United States 02482"
"The Fuller Foundation, Inc.",42241130,2019,"$14,189,908 ","$712,891 ","$538,478 ",N/A,6039646998, ATfuller@aol.com,http://www.fullerfoundation.org,"Po Box 461
Rye Beach, NH, United States 03871"
Service League Foundation,46006490,2017,N/A,"$711,201 ","$702,537 ",N/A,N/A,N/A,N/A,"1 Monarch Pl.
Springfield, MA, United States 01144"
"The Whelan Family Foundation, Inc.",273120778,2019,"$86,951 ","$112,121 ","$107,935 ",N/A,5087895321,N/A,N/A,"9037 Somerset Bay Ln Apt 401
Vero Beach, FL, United States 32963"
Hegi Family Foundation,752217565,2018,"$4,247,530 ","$348,765 ","$314,530 ",N/A,(214) 720-1313, fredhegi@wingatepartners.com,N/A,"4805 St. Johns Dr.
Dallas, TX, United States 75205-3143"
Pettus Foundation,436029569,2018,"$18,359,737 ","$1,370,156 ","$1,101,500 ",N/A,3126306000, grants@stlgives.org,N/A,"1175 Mill Crossing Dr., No. 100
Creve Coeur, MO, United States 63141-6192"
Thompson Family Foundation,341913926,2019,$802 ,"$25,500 ","$25,500 ",N/A,4404391680,N/A,N/A,"PO Box 46730
Bedford Heights, OH, United States 44146"
The Pittsburgh Foundation,250965466,2019,"$1,226,779,411 ","$65,362,970 ","$47,376,265 ","$46,928,624 ",4123915122, email@pghfdn.org,http://www.pittsburghfoundation.org,"Five PPG Place, Ste. 250
Pittsburgh, PA, United States 15222"
"Boston Evening Clinic Foundation, Inc.",42106776,2019,"$4,289,617 ","$586,371 ","$284,576 ",N/A,6179699900,N/A,N/A,"1087 BEACON STREET NO 301
Newton, MA, United States 02459"
"Saint Francis Community Health Care, Inc.",222755649,2019,"$3,393,232 ","$225,789 ","$184,500 ",N/A,5089836777,N/A,http://saintfrancischc.com,"95A Turnpike Rd.
Westborough, MA, United States 01581-2878"
Thomas S. Gunning Scholarship Foundation,43464855,2018,"$307,308 ","$139,061 ","$136,500 ",N/A,7818493220,N/A,N/A,"100 Grossman Dr Ste 300
Braintree, MA, United States 02184-4957"
Gulf Coast Community Foundation Inc,591052433,2020,"$357,112,248 ","$70,647,707 ","$60,567,751 ","$59,966,584 ",9414864600, info@gulfcoastcf.org,https://www.gulfcoastcf.org/,"601 Tamiami Trail South
Venice, FL, United States 34285"
HOME STREET FOUNDATION,812822733,2019,"$55,232 ","$253,086 ","$110,000 ",N/A,2065154069,N/A,N/A,"Homestreet Bank No 2000
Seattle, WA, United States 981011378"
Stone Family Charitable Foundation,46121448,2020,"$176,442 ","$137,520 ","$132,534 ",N/A,6175719922,N/A,N/A,"17b Sparhawk Street
Brighton, MA, United States 02135"
1997 John & Mary Murphy Educational Foundation,43399061,2020,"$3,600,361 ","$188,434 ","$159,900 ",N/A,7817210100,N/A,N/A,"63 Shore Road
Winchester, MA, United States 01890"
The Ned and Emily Sherwood Family Foundation,364273196,2019,"$3,517,273 ","$558,318 ","$552,223 ",N/A,3172693454,N/A,N/A,"One Indiana Square
Indianapolis, IN, United States 46204"
"Lois M. Fontana Charitable Foundation, Inc.",274897902,2020,"$38,002 ",$0 ,$0 ,N/A,6175361713,N/A,N/A,"276 Whiting Street
Hingham, MA, United States 02043"
Windhorse Foundation,46707664,2019,"$3,873,765 ","$271,316 ","$245,365 ",N/A,4343271743,N/A,N/A,"1800 Timberwood Blvd
Charlottesville, VA, United States 22911"
Calvert Social Investment Foundation Inc,521591398,2016,"$368,857,156 ","$17,814,339 ","$2,275,081 ","$2,275,081 ",(800) 248-0337, info@calvertfoundation.org,http://www.calvertfoundation.org,"7315 Wisconsin Avenue Suite 1100W
Bethesda, MD, United States 20814"
Carl Lesnor Family Foundation,461611644,2019,"$3,792,451 ","$231,678 ","$200,000 ",N/A,5169925838,N/A,N/A,"Mpllp 88 Froehlich Farm Blvd No
Woodbury, NY, United States 11797"
James W. Rollins Charitable Trust,46903752,2020,"$1,251,414 ","$52,145 ","$27,000 ",N/A,6174411548,N/A,N/A,"75 State St.
Boston, MA, United States 02109"
NiSource Charitable Foundation,510324200,2019,"$28,680,863 ","$1,685,386 ","$1,430,469 ",N/A,6144604676, fmcgrain@nisource.com,https://www.nisource.com/community/g...,"290 W Nationwide Blvd
Columbus, OH, United States 43215"
The Berger-Marks Foundation,522044121,2017,"$111,009 ","$1,767,401 ","$1,518,000 ",N/A,(202) 243-0133, bergermarks@gmail.com,N/A,"4301 Connecticut Ave. N.W., Ste. 108
Washington, DC, United States 20008-2304"
Zampell Family Foundation,263006687,2018,"$45,624 ","$99,588 ","$95,550 ",N/A,9784995137,N/A,N/A,"15 William Fairfield Dr.
Wenham, MA, United States 01984-1123"
Fisk Relief Fund,46024309,2018,"$149,264 ","$11,112 ","$7,000 ",N/A,8888663275,N/A,N/A,"P.O. Box 1802
Providence, RI, United States 02901-1802"
The Baker Family Trust,46628772,2019,"$5,733,375 ","$744,113 ","$706,000 ",N/A,7812373331,N/A,N/A,"62 Walnut Street
Wellesley, MA, United States 02481"
Lederer Foundation,136108527,2020,"$752,622 ","$124,460 ","$112,500 ",N/A,3033224333,N/A,N/A,"1690 Glen Dee Dr
Lakewood, CO, United States 80215"
McCoy Family Charitable Foundation,200507058,2018,"$294,144 ","$14,417 ","$8,800 ",N/A,6177422150,N/A,N/A,"50 Staniford St., Ste. 804
Boston, MA, United States 02114-2517"
The Overbrook Foundation,136088860,2019,"$170,340,103 ","$10,751,825 ","$7,533,209 ",N/A,2126039996, website@overbrook.org,http://www.overbrook.org,"60 EAST 42ND STREET No 565
New York City, NY, United States 10165"
Kate Risley Foundation,211826720,2019,"$2,107,078 ","$98,166 ","$78,685 ",N/A,8008391754,N/A,N/A,"Foundation Source 501 Silverside Rd
Wilmington, DE, United States 198091377"
The Calamus Foundation,133922034,2019,"$5,736,622 ","$365,987 ","$271,000 ",N/A,2125984872,N/A,N/A,"P.O. Box 930
Pearl River, NY, United States 10965-0930"
Triangle Community Foundation,561380796,2020,"$242,383,805 ","$32,699,705 ","$28,997,952 ","$28,995,452 ",9194748370, info@trianglecf.org,http://www.trianglecf.org,"Po Box 12729
Durham, NC, United States 277092729"
Webster Family Foundation,470812689,2019,"$5,343,768 ","$321,651 ","$177,000 ",N/A,4026028736,N/A,N/A,"1620 DODGE STREET - STOP 8145
Omaha, NE, United States 681978145"
The Boisi Family Foundation,133165815,2020,"$102,050 ","$562,500 ","$562,500 ",N/A,2122862600,N/A,N/A,"665 Fifth Avenue
New York City, NY, United States 10022"
"The James M. Cox Foundation of Georgia, Inc.",586032469,2019,"$657,623,978 ","$21,012,062 ","$27,830,832 ",N/A,(678) 645-0000,N/A,http://www.coxfoundation.com,"6205-A Peachtree Dunwoody Road
Atlanta, GA, United States 303284524"
The Morris A. Hazan Family Foundation,956220356,2019,"$45,544,876 ","$3,349,690 ","$3,095,900 ",N/A,3108260909,N/A,N/A,"11812 San Vicente Blvd No 200
Los Angeles, CA, United States 90049"
The Herb Alpert Foundation,954191227,2019,"$39,082,570 ","$16,790,526 ","$15,071,600 ",N/A,8185283545,N/A,http://www.herbalpertfoundation.org,"1414 6th Street
Santa Monica, CA, United States 90401"
United Way of Bergen County,226028959,2020,"$22,947,954 ","$17,341,407 ","$15,650,970 ","$14,349,991 ",2012914050, ttoronto@bergenunitedway.org,http://www.bergenunitedway.org,"6 Forest Avenue
Paramus, NJ, United States 07652"
Robert Treat Paine Association,237013475,2018,"$1,770,426 ","$104,889 ","$88,100 ",N/A,(508) 966-4020,N/A,N/A,"C/O GOLDMAN TAX 15 Beaver Pond Road
Bellingham, MA, United States 02019"
Deupree Family Foundation,311746946,2020,"$7,073,208 ","$939,017 ","$859,700 ",N/A,N/A, info@deupreefamilyfoundation.org,http://deupreefamilyfoundation.org,"PO Box 292
Collinsville, CT, United States 06022"
Albert Pratt Charitable Trust,46164464,2014,$0 ,"$137,009 ","$135,446 ",N/A,N/A,N/A,N/A,"800 Boylston St.
Boston, MA, United States 02199-3600"
La Fetra Foundation,954380652,2020,"$36,849,219 ","$1,561,945 ","$1,427,100 ",N/A,6269637311,N/A,N/A,"1600 Euclid Avenue
Berkeley, CA, United States 94709"
The Linden Foundation Inc.,226678640,2020,"$11,510,625 ","$707,130 ","$594,500 ",N/A,6174267080,N/A,http://www.lindenfoundation.org,"2 Liberty Square No 500
Boston, MA, United States 02109"
The Bailey Foundation Inc.,222777447,2018,"$1,419,044 ","$90,483 ","$81,240 ",N/A,(203) 348-8700,N/A,N/A,"120 Long Ridge Rd.
Stamford, CT, United States 06902"
Church of the Good Shepherd,46050746,2019,"$3,305,248 ","$150,943 ","$148,700 ",N/A,6033879142,N/A,N/A,"6601 SE HARBOR CIRCLE
Stuart, FL, United States 34996"
Deluxe Corporation Foundation,416034786,2020,"$27,608,741 ","$1,285,855 ","$1,186,458 ",N/A,6514837111, DeluxeFoundation@deluxe.com,N/A,"Po Box 64235
Saint Paul, MN, United States 551640235"
Deborah and Robert First Family Foundation,222776314,2019,"$2,476,284 ","$114,984 ","$96,694 ",N/A,7812351661,N/A,N/A,"22 Rockport Road
Weston, MA, United States 02493"
The Bay State Federal Savings Charitable Foundation,43415547,2020,"$13,774,798 ","$618,293 ","$180,150 ",N/A,6172252822, info@baystatecharitable.com,http://www.baystatecharitable.com,"PO Box 1190
Sagamore Beach, MA, United States 02562"
Elliott Badgley Foundation Inc.,43488447,2019,"$1,384,792 ","$113,575 ","$92,000 ",N/A,6172484760,N/A,N/A,"91 Kimball Beach Road
Hingham, MA, United States 02043"
"Menemsha Fund, Inc.",133334205,2019,"$511,851 ","$38,660 ","$37,000 ",N/A,2124400800,N/A,N/A,"C/O Ey Us Llp 77 Water Street-9fl
New York City, NY, United States 10005"
Annenberg Foundation,236257083,2019,"$1,471,021,146 ","$124,676,803 ","$138,930,651 ",N/A,6103419366, info@annenbergfoundation.org,http://www.annenbergfoundation.org,"101 WEST ELM STREET Ste 510
Conshohocken, PA, United States 194282075"
Knafel Family Foundation,133779562,2019,"$16,907,827 ","$1,364,966 ","$1,275,100 ",N/A,2123710900,N/A,N/A,"885 Third Ave Suite 2640
New York City, NY, United States 100225860"
The Benjamin Fund,841618483,2018,"$25,699,520 ","$1,881,758 ","$1,739,310 ",N/A,4157105244,N/A,N/A,"7601 Ne Miami Ct
Miami, FL, United States 33138"
The DeLuca Family Charitable Trust,46846332,2019,"$1,866,644 ","$158,785 ","$158,350 ",N/A,9784751255,N/A,N/A,"Po Box 3069
Andover, MA, United States 01810"
Charlotte Y. Martin Foundation,472057123,2019,"$24,716,122 ","$1,037,680 ","$776,657 ",N/A,2066648827, info@charlottemartin.org,https://www.charlottemartin.org,"1201 Third Ave
Seattle, WA, United States 98101"
The Elms Foundation,50450051,2018,"$14,893,800 ","$969,264 ","$839,170 ",N/A,4014530038,N/A,N/A,"244 Gano St.
Providence, RI, United States 02906-4027"
Feitler Family Fund,396125966,2019,"$14,995,020 ","$612,654 ","$586,763 ",N/A,3126641122,N/A,N/A,"179 E. Lakeshore Dr., Ste. 16E
Chicago, IL, United States 60611-1340"
The Fleetwing Charitable Foundation Trust,201448765,2019,"$5,534,011 ","$215,966 ","$159,500 ",N/A,8008391754,N/A,N/A,"Foundation Source 501 Silverside Rd
Wilmington, DE, United States 198091377"
Woods and Gil Family Foundation,813150022,2019,"$4,812,420 ","$344,294 ","$254,400 ",N/A,3126283813,N/A,N/A,"1 N FRANKLIN ST STE 2360
Chicago, IL, United States 60606-3545"
The Hagerty Family Foundation,200509132,2019,"$4,631,746 ","$522,495 ","$480,333 ",N/A,6172271782,N/A,N/A,"153 Brattle Street
Cambridge, MA, United States 02138"
The Sodhani Foundation Inc,223738920,2020,"$2,321,658 ","$63,977 ","$59,591 ",N/A,9734673901,N/A,N/A,"14 Patriots Way
Somerset, NJ, United States 08873"
The Russell and Carey Jeffrey Family Foundation,357089433,2019,"$776,580 ","$49,179 ","$32,104 ",N/A,4017494589,N/A,N/A,"9 Brayton Meadow
East Greenwich, RI, United States 02818"
Weyerhaeuser Family Foundation,416012062,2019,"$28,161,777 ","$1,416,283 ","$1,026,840 ",N/A,6512280935,N/A,http://wfamilyfoundation.org/,"30 7th St. E., Ste. 2000
Saint Paul, MN, United States 55101-4930"
Loren Mcpherson Charitable Trust,166474318,2020,"$371,698 ","$26,320 ","$20,133 ",N/A,6073376191,N/A,N/A,"52 S. Broad St.
Norwich, NY, United States 13815"
We Share A Common Thread (jdcu),452916988,2019,"$214,094 ","$386,114 ","$385,496 ",N/A,9783234798,N/A,http://www.weshareacommonthread.org,"1 Tremont Place
Lowell, MA, United States 01854"
